Исполнитель,Название песни,Текст
Король и шут,некромант ты говоришь я демон так и есть со мною не видать тебе удачи навеки мое дело,ты говоришь я демон так и есть со мною не видать тебе удачи навеки мое дело зло и месть для демона не может быть иначе чем я заслужил судьбу несчастного изгоя постоянно доставать себя вопросом кто я мысли что я демон часто выжить помогали люди же повсюду так меня и называли ты зловещая луна в мои муки влюблена отобрав души покой что ты делаешь со мной может ты мне дашь ответ почему весь белый свет обозлился на меня для чего родился я помню как толпа крестьян убить меня хотела после инквизиторы калечили мне тело все восстало против молодого некроманта сделав меня мучеником моего таланта ты зловещая луна в мои муки влюблена отобрав души покой что ты делаешь со мной может ты мне дашь ответ почему весь белый свет обозлился на меня для чего родился я наполовину человек наполовину я мертвец таким останусь я навек я будто волк среди овец полна страданий жизнь моя но выбор сделанный судьбой нет изменить не в силах я война с самим собой можешь ты мне дать ответ почему весь белый свет обозлился на меня люди мне враги а ведь когдато были братья я на всю округу наложил свое проклятье гибнут урожаи а вокруг чума и голод и ветра залетные приносят жуткий холод ты зловещая луна в мои муки влюблена отобрав души покой что ты делаешь со мной может ты мне дашь ответ почему весь белый свет обозлился на меня для чего родился я
Король и шут,мертвый анархист,ослепший старый маг ночью по лесу бродил на кладбище разлил он волшебный эликсир и лишь проговорил что ж я старый натворил трупы оживали землю разрывали всюду выползали дико бушевали глотки драли все вокруг ломали рвали свою плоть это место люди не любили потому что здесь гадов хоронили все они водку пили проклятыми были припев среди ублдков шел артист в кожаном плаще мертвый анархист крикнул он хой челюсть долой трупов вел он за собой бешено в деревню мертвые ворвались в свете фонарей рожи показались дрались и по полной отрывались шли дома громить взяли люди топоры и вилы мертвецов загнать в свои могилы но на это не хватило силы трупов не убить припев среди ублдков шел артист в кожаном плаще мертвый анархист крикнул он хой челюсть долой трупов вел он за собой был на руке застывший фак из кармана торчал пиратский флаг зомби всю ночь кричали хой мы анархисты народ не злой что за наваждение без предупреждения на отрока напали сильно напугали смеялись и толкались парнишку заставляли долго танцевать что есть мочи женщины визжали и крестьяне в панике бежали трупы дохли снова оживали ржали людям вслед припев среди ублдков шел артист в кожаном плаще мертвый анархист крикнул он хой челюсть долой трупов вел он за собой был на руке застывший фак из кармана торчал пиратский флаг зомби всю ночь кричали хой мы анархисты народ не злой в жизни артист веселым был и нажраться он всегда любил утро крестьянам помогло солнце трупы за полчаса сожгло но в тишине ночной в подвале ктото рявкнул хой
Король и шут,кукла колдуна акустика,темный мрачный коридор я на цыпочках как вор пробираюсь чуть дыша чтобы не спугнуть тех кто спит уже давно тех кому не все равно в чью я комнату тайком желаю заглянуть чтобы увидеть припев как бессонница в час ночной меняет нелюдимая облик твой чьих невольница ты идей зачем тебе охотиться на людей крестик на моей груди на него ты погляди что в тебе способен он резко изменить много книжек я читал много фокусов видал свою тайну от меня не пытайся скрыть я это видел очень жаль что ты тогда мне поверить не смогла в то что новый твой приятель не такой как все ты осталась с ним вдвоем не зная ничего о нем что для всех опасен он наплевать тебе и ты попала к настоящему колдуну он загубил таких как ты не одну словно куклой в час ночной теперь он может управлять тобой все происходит будто в страшном сне и находиться здесь опасно мне
Король и шут,лесник,замученный дорогой я выбился из сил и в доме лесника я ночлега попросил с улыбкой добродушной старик меня пустил и жестом дружелюбным на ужин пригласил будь как дома путник я ни в чем не откажу я ни в чем не откажу я ни в чем не откажу множество историй коль желаешь расскажу коль желаешь расскажу коль желаешь расскажу на улице темнело сидел я за столом лесник сидел напротив болтал о том о сем что нет среди животных у старика врагов что нравится ему подкармливать волков будь как дома путник я ни в чем не откажу я ни в чем не откажу я ни в чем не откажу множество историй коль желаешь расскажу коль желаешь расскажу коль желаешь расскажу и волки среди ночи завыли под окном старик заулыбался и вдруг покинул дом но вскоре возвратился с ружьем на перевес друзья хотят покушать пойдем приятель в лес будь как дома путник я ни в чем не откажу я ни в чем не откажу я ни в чем не откажу множество историй коль желаешь расскажу коль желаешь расскажу коль желаешь расскажу
Король и шут,прыгну со скалы,  с головы сорвал ветер мой колпак  я хотел любви но вышло все не так   знаю я ничего в жизни не вернуть   и теперь у меня один лишь только путь  разбежавшись прыгну со скалы  вот я был и вот меня не стало  и тогда тогда узнаешь ты  тогда поймешь кого ты потеряла проигрыш быть таким как все с детства не умел видимо такой в жизни мой удел а она да что она вечно мне лгала и меня никогда понять бы не смогла разбежавшись прыгну со скалы вот я был и вот меня не стало и тогда тогда узнаешь ты тогда поймешь кого ты потеряла гордо вскинув плащ вдаль направлю взор может она ждет вряд ли это вздор и издав дикий крик камнем брошусь вниз ветром в моей жизни завершительный каприз разбежавшись прыгну со скалы вот я был и вот меня не стало и тогда себя возненавидишь ты лишишься осознав кого ты потеряла
Король и шут,как в старой сказке,дремлет за горой мрачный замок мой душу мучает порой царящий в нем покой я своих фантазий страждущий герой а любви моей живой все образы со мной припев я часто вижу страх в смотрящих на меня глазах им суждено уснуть в моих стенах застыть в моих мирах но сердце от любви горит моя душа болит и восковых фигур прекрасен вид покой везде царит я их приводил в свой прекрасный дом их вином поил и развлекались мы потом иногда у них легкий был испуг от прикосновений к нежной шее крепких рук припев вот несет одна мне свои цветы вот стоит другая погруженная в мечты я пытался их до смерти рассмешить но пришлось как в старой сказке просто задушить припев
Король и шут,некромант,ты говоришь я демон так и есть со мной не видать тебе удачи навеки мое дело зло и месть для демона не может быть иначе чем я заслужил судьбу несчастного изгоя мучил я себя вопросом кто я мысли что я демон часто выжить помогали люди же повсюду так меня и называли припев и зловещая луна в мои муки влюблена отобрав души покойчто ты делаешь со мной может ты мне дашь ответ почему весь белый свет обозлился на меня для чего родился я помню как толпа крестьян убить меня хотела после инквизиторы калечили мне тело все восстало против молодого некроманта сделав меня мученником моего таланта припев на половину человек на половину я мертвец таким останусь я навек я будто волк среди овец полна страданий жизнь моя но выбор сделанный судьбой нет изменить не в силах я война с самим собой припев люди мне враги а ведь когдато были братья я на всю округу наложил свое проклятье гибнут урожаи а вокруг чума и голод и ветра залетные приносят жуткий холод припев
Король и шут,танец злобного гения,проныра озорник любитель книг ловкач игрок жизнь между строк и потому открыт ему незримый путь в любую суть танец злобного гения на страницах произведения эта игра без сомнения обреченных ждет поражение подсыпать в душу яд всегда он рад всего за час прочтет он вас он волен взять и поменять строку и с ней смысл темы всей танец злобного гения на страницах произведения это игра без сомнения обреченных ждет поражение открыт роман читатель пьян разлив вино шагнул в окно танец злобного гения на страницах произведения это игра без сомнения обреченных ждет поражение танец злобного гения на страницах произведения это игра без сомнения обреченных ждет поражение
Король и шут,герои и злодеи,близится гулянка к завершенью закончен пир за праздничным столом сидит старик в неведомом томленьи и смотрит как светает за окном вошла невеста и на ней повис жених старик лениво переводит взгляд на них затем смеется он никак в канаве был всех мужиков на свадьбе деда перепил припев и старику невеста отвечает от жениха глаза не отводя он перебрал ну с кем такого не бывает я помню и тебя я помню и тебя твоя старуха волокла гости спят на лавках за столами не с кем старику поговорить пол завален пьяными телами он решил себе еще налить затем он открывает свой беззубый рот и хриплым голосом он песенку поет слова такие где ж вы деды и отцы в ответ на кладбище завыли мертвецы припев и старику невеста отвечает от жениха глаза не отводя он перебрал ну с кем такого не бывает я помню и тебя я помню и тебя твоя старуха волокла а наутро началось похмелье черти что творится в головах у гостей последствия веселья но водки не осталось в погребах все выпил дед воскликнул ктото сгоряча а после в ужасе попятился назад невеста вздрогнула в испуге бормоча а ведь он умер десять дней тому назад припев и старику невеста отвечает от жениха глаза не отводя он перебрал ну с кем такого не бывает я помню и тебя я помню и тебя твоя старуха волокла он перебрал ну с кем такого не бывает я помню и тебя я помню и тебя твоя старуха волокла
Король и шут,проклятый старый дом,в заросшем парке стоит старинный дом забиты окна и мрак царит извечно в нем сказать я пытался чудовищ нет на земле о тут же раздался ужасный голос во мгле голос во мгле припев мне больно видеть белый свет мне лучше в полной темноте я очень многомного лет мечтаю только о еде мне слишком тесно взаперти и я мечтаю об одном скорей свободу обрести прогрызть свой ветхий старый дом проклятый старый дом был дед да помер слепой и жутко злой икто не вспомнил о нем с зимы холодной той соседи не стали его тогда хоронить лишь доски достали решили заколотить двери и окна припев и это место стороной обходит сельский люд и суеверные твердят там призраки живут
Король и шут,вино хоббитов,никто не ждал что будет праздник в этот день но все равно явились все кому не лень уж так в деревне повелось резвись коль выпить удалось и даже гоблинборода с холмов пришел сюда пели песни до утра пого танцевали каждый наливал вина пить не уставали был странный вкус но людям было наплевать не дуя в ус напились и давай гулять какая разница что пьешь себе и ближнему налей чем больше в рот себе вольешь тем будет веселей хей пели песни до утра пого танцевали каждый наливал вина пить не уставали и только гоблин как бревно упал и распростерся ниц узнав что хоббиты вино варили из яиц пели песни до утра пого танцевали каждый наливал вина пить не уставали ведь простой народ что попало пьет если это хоть немного по мозгам дает пели песни до утра пого танцевали каждый наливал вина пить не уставали все придут на пир лишь бы повод был сладок уксус на халяву ктото говорил в деревню хоббиты пришли и принесли вино и местный староста тогда на праздник дал добро в их появленьи был бесхитростный расчет мы людям принесем вино они же нам дадут за это мед чего скрывать и я там был вино со всеми вместе пил своим я видом фей пугал под дубом бешено рыгал
